prd_cd,prd_brnd_nm,prd_brnd_cd,prd_tp_cat_vl,prd_nm,item_index
007011000606,CEO 보떼,00701,스킨케어,랑팔라투르 유기농 비누 마르세유 벌트 600g,0
111070000566,헤라,11107,아이 & 넥,링클 코렉터,1
110640000210,프리메라,11064,립케어 & 립밤,내추럴 베리 립밤,2
000511000075,피카소,00051,브러쉬,브러쉬커버,3
005021000163,마이팩토리,00502,바디 & 헤어 소품,프린세스릴리 컬러 미니 머리끈 x10,4
111310100476,미쟝센,11131,샴푸,[3입] 아로마 에센셜 릴랙싱 샴푸 로터스&라벤더,5
111970000554,라네즈,11197,클렌징 폼,멀티 딥 클린 클렌저,6
765001000017,아윤채,76500,샴푸,스칼프 댄드럽프리 퓨리파잉 샴푸,7
007011000362,펜할리곤스,00701,향수,펜할리곤스 엘레니시아 EDP 100ML,8
110650000797,마몽드,11065,크림,블루 캐모마일 수딩 리페어 크림,9
220110000149,구딸파리,22011,여성향수,[P] 부아 드 아드리앙 EDP 50ml,10
002061000004,에뛰드하우스,00206,컬러,핫 스타일 포토 헤어 라이너,11
111771101383,이니스프리,11177,세트,[LTD] 비자 럭키박스+미키 파우치,12
111610100091,프레시팝,11161,샴푸,[세트] 두피진정 알로에&오트 샴푸/컨디셔너,13
111650000285,한율,11165,마스크 & 팩,달빛유자 얼려쓰는 수면팩,14
110650000640,마몽드,11065,립,[P] 체리블라썸 스키니 립펜슬,15
110650000788,마몽드,11065,스킨 & 토너,로즈워터 토너 리필팩 기획세트,16
002071000007,부르조아,00207,아이브로우,수르실 프레씨지옹 (아이브로우 펜슬),17
002061000038,에뛰드하우스,00206,네일 리무버,네일 리무버 일반손톱용 (엑스트라 스트롱),18
111170100290,설화수,11117,세트,탄력에센셜3종 기획(쇼핑백 포함),19
002011000051,스틸라,00201,아이섀도우,[AP 특별구성] 아이즈 아 더 윈도우 섀도우 팔레트&리퀴드 아이섀도우 세트,20
220220000115,리리코스 마린에너지,22022,앰플,슬리핑 리셋™ 앰플,21
110650000062,마몽드,11065,메이크업 리무버,트리플 멀티 클렌징 크림,22
002061000407,에뛰드하우스,00206,아이섀도우,플레이 컬러 아이즈 베이크 하우스,23
005021000018,마이팩토리,00502,바디 & 헤어 소품,엘리트스파 로즈파우더 곤약 스펀지,24
111130000528,아이오페,11113,파우더,퍼펙트 커버 트윈팩트,25
000511000276,피카소,00051,브러쉬,윤기창조 FB17 + 에어퍼프 프리미엄 프로,26
111650100172,한율,11165,아이 & 넥,극진 아이크림 기획세트,27
111970000372,라네즈,11197,BB & CC크림,비비 쿠션_포어 컨트롤,28
001131000025,샬랑드파리,00113,쿠션,쿠션 드 알바로사,29
111771001153,이니스프리,11177,크림,유채꿀 핸드 버터 50ml,30
180020000057,데싱디바,18002,네일아트 & 스티커,데싱디바 매직젤스트립 퍼플하트팝 DGST55,31
