"prd_cd","tg_prd_cd_cd","prd_nm","prd_cd_cd","prd_brnd_nm","prd_brnd_nm_cd","tg_prd_brnd_nm_cd","apmall_cate_lev1","apmall_cate_lev1_nm","apmall_cate_lev1_cd","tg_apmall_cate_lev1_cd","apmall_cate_lev2","apmall_cate_lev2_nm","apmall_cate_lev2_cd","tg_apmall_cate_lev2_cd","apmall_cate_lev3","apmall_cate_lev3_nm","apmall_cate_lev3_cd","tg_apmall_cate_lev3_cd","brand_sn","brand_name","brand_sn_cd","tg_brand_sn_cd","set_yn","set_yn_cd","tg_set_yn_cd","brnd_grp_nm","brnd_grp_nm_cd","tg_brnd_grp_nm_cd","brnd_dtl_cd","brnd_dtl_nm","brnd_dtl_cd_cd","tg_brnd_dtl_cd_cd","prd_mkt_cat_cd","prd_mkt_cat_nm","prd_mkt_cat_cd_cd","tg_prd_mkt_cat_cd_cd","prd_mkt_lcat_cd","prd_mkt_lcat_nm","prd_mkt_lcat_cd_cd","tg_prd_mkt_lcat_cd_cd","prd_use_cd","prd_use_cd_cd","tg_prd_use_cd_cd","prd_scat_cd","prd_scat_nm","prd_scat_cd_cd","tg_prd_scat_cd_cd","prd_mcat_cd","prd_mcat_nm","prd_mcat_cd_cd","tg_prd_mcat_cd_cd","prd_lcat_cd","prd_lcat_nm","prd_lcat_cd_cd","tg_prd_lcat_cd_cd","main_func_cd","main_func_nm","main_func_cd_cd","tg_main_func_cd_cd","user_tp_cd","user_tp_cd_nm","user_tp_cd_cd","tg_user_tp_cd_cd","prd_grd_cd","prd_grd_cd_cd","tg_prd_grd_cd_cd"
"110640000222","276","내추럴 리치 클렌징 폼","276","프리메라","70","70","CTG001","스킨케어","0","0","CTG001001","클렌징","1","1","CTG001001002","클렌징폼","3","3","10","프리메라","1","1","N","0","0","럭셔리","3","3","11064","프리메라","4","4","S4","클렌징(스킨케어)","11","11","S","스킨케어","2","2","01","1","1","AAE","페이셜 워시","4","4","AA","스킨케어","0","0","A","Beauty","0","0","AA12","클렌징_페이셜워시","11","11","1","공용","1","1","R13","6","6"
"111810000025","824","울트라 서핑 선크림","824","아웃런","49","49","CTG001","스킨케어","0","0","CTG001004","선케어","4","4","CTG001004","선케어","18","18","26","아웃런","15","15","N","0","0","AP 기타","0","0","11181","아웃런","23","23","S5","페이셜 선케어(스킨케어)","12","12","S","스킨케어","2","2","01","1","1","AAH","페이셜선케어","7","7","AA","스킨케어","0","0","A","Beauty","0","0","AA06","스킨케어 _자외선차단","6","6","1","공용","1","1","R13","6","6"
"150100100026","883","테라크네365 하이드레이션 토너 대용량 세트","883","에스트라","56","56","CTG001","스킨케어","0","0","CTG001002","모이스처라이징","2","2","CTG001002001","스킨 & 토너","8","8","53","에스트라","35","35","Y","1","1","관계사","1","1","15010","에스트라","33","33","ZZ","기타(비화장품)","23","23","H","HBD외","0","0","01","1","1","EBA","에스트라","58","58","EB","코스메슈티컬","10","10","E","에스트라","2","2","AA03","스킨케어 _트러블","3","3","1","공용","1","1","R13","6","6"
"111070000599","403","선 메이트 스틱 SPF50+ PA++++","403","헤라","78","78","CTG001","스킨케어","0","0","CTG001004","선케어","4","4","CTG001004","선케어","18","18","15","헤라","5","5","N","0","0","럭셔리","3","3","11107","헤라","8","8","S5","페이셜 선케어(스킨케어)","12","12","S","스킨케어","2","2","01","1","1","AAH","페이셜선케어","7","7","AA","스킨케어","0","0","A","Beauty","0","0","AA06","스킨케어 _자외선차단","6","6","2","여성용","2","2","R11","4","4"
"007061000023","231","[바디홀릭] 스테이누디라인 바디미스트 1+1","231","바디홀릭","28","28","CTG001","스킨케어","0","0","CTG001003","스페셜 케어","3","3","CTG001003","스페셜 케어","14","14","87","바디홀릭","57","57","N","0","0",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"765001000019","998","에어리 블라썸 무스","998","아윤채","50","50","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002004","에센스 & 세럼 & 오일","60","60","47","아윤채","33","33","N","0","0",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"111310000406","640","아로마 에센셜 샴푸&컨디셔너","640","미쟝센","26","26","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002001","샴푸","57","57","21","미쟝센","10","10","N","0","0","데일리뷰티","2","2","11131","미쟝센","15","15","Z1","헤어(비화장품)","16","16","H","HBD외","0","0","01","1","1","ACD","세정","31","31","AC","헤어","2","2","A","Beauty","0","0","DA02","헤어_두피케어","40","40","1","공용","1","1","R13","6","6"
"111310000405","639","파워스윙 세팅 왁스 6종","639","미쟝센","26","26","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002005","스타일링 ","61","61","21","미쟝센","10","10","N","0","0","데일리뷰티","2","2","11131","미쟝센","15","15","Z7","남성(비화장품)","22","22","H","HBD외","0","0","01","1","1","ACC","정발","30","30","AC","헤어","2","2","A","Beauty","0","0","DA17","헤어_스타일링","49","49","3","남성용","3","3","R13","6","6"
"111970000632","864","슬림 하드 오토브로우","864","라네즈","11","11","CTG002","메이크업","1","1","CTG002003","아이","8","8","CTG002003003","아이브로우","33","33","31","라네즈","20","20","N","0","0","프리미엄","4","4","11197","라네즈","30","30","M3","아이(메이크업)","3","3","M","메이크업","1","1","01","1","1","ABR","아이브로우","25","25","AB","메이크업","1","1","A","Beauty","0","0","BA07","메이크업_컬러표현","20","20","2","여성용","2","2","X00","12","12"
"111860000025","839","[리필] 스웻 스타일링 바디 오 드 뚜왈렛","839","프라도어","68","68","CTG003","네일 & 향수","2","2","CTG003002","향수","13","13","CTG003002","향수","42","42","30","프라도어","19","19","N","0","0","AP 기타","0","0","11186","프라도어","27","27","Z6","방향(비화장품)","21","21","H","HBD외","0","0","01","1","1","AFA","프래그런스","47","47","AF","방향","5","5","A","Beauty","0","0","EA11","바디 _퍼퓸","58","58","1","공용","1","1","X00","12","12"
