client_id - rec_list
"['03dad6a6a2c85118', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '토카 시몬 EDP 50ML', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬']"
"['053d0be5b1ca509d', '오 마이 래쉬 마스카라 3EA', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '[피카소시그니처] FB13 파운데이션', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '알로에 리바이탈 수딩젤 300mL', '퓨리파잉 클렌징 워터', '[리필] 스ㅤㅇㅞㅅ 스타일링 바디 오 드 뚜왈렛', '화윤생 한방 거품염색', '포인트 클리닉 남성청결제']"
"['087bbff8e847b370', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '[보은/상품권] 에이지 어웨이 3종 세트', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '[보은/상품권] 베이직 2종 세트_모이스춰', '테크닉 핏 샤프 컨투어 브러쉬']"
"['09573066d94a8fd3', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '오 마이 래쉬 마스카라 3EA', '순정 약산성 5.5토너 2+1', '화이트 프로그램 래디언스 크림', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '테크닉 핏 샤프 컨투어 브러쉬']"
"['0b585811ad52e61a', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '토카 시몬 EDP 50ML', '테크닉 핏 샤프 컨투어 브러쉬']"
"['0d2d8e11eebb2870', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '[보은/상품권] 베이직 2종 세트_모이스춰', '스킨클리닉 마스크 마데카소사이드 [메이드바이유]', '[3입] 비듬케어 만다린&유자 샴푸']"
"['12aea9d42b03d1c1', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '실키 퍼프 화장솜', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '노웨어 젠틀 매트 #레드 밋츠 카페', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['822062bb0ba34e8f', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '노웨어 젠틀 매트 #레드 밋츠 카페', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '패브릭 마스크 수분웨어 코튼겔 [1매]', '[2입] 슈퍼 마일드 선 프라이머']"
"['73ff57f682fad42b', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '실키 퍼프 화장솜', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '노웨어 젠틀 매트 #레드 밋츠 카페', '[대용량] 셀 에센스', '토카 시몬 EDP 50ML', '크리미 틴트 컬러밤 인텐스 미니 3종 스페셜 세트']"
"['863296aaa818aa42', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '[보은/상품권] 베이직 2종 세트_모이스춰', '순정 약산성 5.5토너 2+1', '토카 시몬 EDP 50ML', '실키 퍼프 화장솜', '퍼펙트세럼 슈퍼리치 샴푸']"
"['1729feaed65b9bf5', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '토카 시몬 EDP 50ML', '[보은/상품권] 베이직 2종 세트_모이스춰', '노세범모이스처파우더5g', '[보은/상품권] 에이지 어웨이 3종 세트', '순정 약산성 5.5토너 2+1', '아쿠아볼릭 하이드로-펄 세럼', '테크닉 핏 샤프 컨투어 브러쉬']"
